Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Int'l Mins,Int'l Calls,CustServ Calls,Churn,Day_Avg_Call_Duration,Eve_Avg_Call_Duration,Night_Avg_Call_Duration,Intl_Avg_Call_Duration,High_CustServ_Calls
128.0,415,0,1,25.0,265.1,110.0,197.4,99.0,244.7,91.0,10.0,3.0,1,0,2.41,1.993939393939394,2.689010989010989,3.3333333333333335,0
107.0,415,0,1,26.0,161.6,123.0,195.5,103.0,254.4,103.0,13.7,3.0,1,0,1.313821138211382,1.8980582524271845,2.469902912621359,4.566666666666666,0
137.0,415,0,0,0.0,243.4,114.0,121.2,110.0,162.6,104.0,12.2,5.0,0,0,2.135087719298246,1.1018181818181818,1.5634615384615385,2.44,0
84.0,408,1,0,0.0,299.4,71.0,63.54999999999997,88.0,196.9,89.0,6.6,7.0,2,0,4.2169014084507035,0.7221590909090906,2.2123595505617977,0.9428571428571428,0
75.0,415,1,0,0.0,166.7,113.0,148.3,122.0,186.9,121.0,10.1,3.0,3,0,1.475221238938053,1.2155737704918033,1.5446280991735537,3.3666666666666667,1
118.0,510,1,0,0.0,223.4,98.0,220.6,101.0,203.9,118.0,6.3,6.0,0,0,2.279591836734694,2.1841584158415843,1.7279661016949153,1.05,0
121.0,510,0,1,24.0,218.2,88.0,338.35,108.0,212.6,118.0,7.5,7.0,3,0,2.4795454545454545,3.1328703703703704,1.8016949152542372,1.0714285714285714,1
147.0,415,1,0,0.0,157.0,79.0,103.1,94.0,211.8,96.0,7.1,6.0,0,0,1.9873417721518987,1.0968085106382979,2.2062500000000003,1.1833333333333333,0
117.0,408,0,0,0.0,184.5,97.0,338.35,80.0,215.8,90.0,8.7,4.0,1,0,1.902061855670103,4.229375,2.397777777777778,2.175,0
141.0,415,1,1,37.0,258.6,84.0,222.0,111.0,326.4,97.0,11.2,5.0,0,0,3.0785714285714287,2.0,3.364948453608247,2.2399999999999998,0
65.0,415,0,0,0.0,129.1,137.0,228.5,83.0,208.8,111.0,12.7,6.0,4,1,0.9423357664233576,2.753012048192771,1.8810810810810812,2.1166666666666667,1
74.0,415,0,0,0.0,187.7,127.0,163.4,148.0,196.0,94.0,9.1,5.0,0,0,1.4779527559055117,1.104054054054054,2.0851063829787235,1.8199999999999998,0
168.0,408,0,0,0.0,128.8,96.0,104.9,71.0,141.1,128.0,11.2,2.0,1,0,1.3416666666666668,1.4774647887323944,1.10234375,5.6,0
95.0,510,0,0,0.0,156.6,88.0,247.6,75.0,192.3,115.0,12.3,5.0,3,0,1.7795454545454545,3.3013333333333335,1.6721739130434783,2.46,1
62.0,415,0,0,0.0,120.7,70.0,307.2,76.0,203.0,99.0,13.1,6.0,4,0,1.7242857142857144,4.042105263157895,2.0505050505050506,2.183333333333333,1
161.0,415,0,0,0.0,325.45000000000005,67.0,317.8,97.0,160.6,128.0,5.4,9.0,4,1,4.857462686567165,3.2762886597938143,1.2546875,0.6000000000000001,1
85.0,408,0,1,27.0,196.4,139.0,280.9,90.0,89.3,75.0,13.8,4.0,1,0,1.41294964028777,3.121111111111111,1.1906666666666665,3.45,0
93.0,510,0,0,0.0,190.7,114.0,218.2,111.0,129.6,121.0,8.1,3.0,3,0,1.6728070175438596,1.9657657657657657,1.071074380165289,2.6999999999999997,1
76.0,510,0,1,33.0,189.7,66.0,212.8,65.0,165.7,108.0,10.0,5.0,1,0,2.874242424242424,3.273846153846154,1.5342592592592592,2.0,0
73.0,415,0,0,0.0,224.4,90.0,159.5,88.0,192.8,74.0,13.0,2.0,1,0,2.493333333333333,1.8125,2.6054054054054054,6.5,0
